identifier,name,baseTime
Meta.Wait,"Wait",60
Intro.OpenPod,"Open Cryopod",5
Intro.ExploreFacility,"Explore Facility",10
Intro.WaterBottle,"Take Small Water Bottle",2
Intro.InvestigateMainGenerator,"Inspect Main Generator",12
Intro.RepairMainGenerator,"Repair Main Generator",40
Intro.InvestigateWater,"Inspect Water Recycler",12
Intro.ExtractWater,"Extract Water",8
Intro.InvestigateFood,"Inspect Food Synthesiser",12
Intro.SynthesiseFood,"Synthesise Food",5
Intro.InvestigateAir,"Inspect Life Support",15
Intro.InvestigateGroundFloorDoor,"Inspect Ground Floor Door",10
Intro.ForceGroundFloorDoor,"Force Ground Floor Door",900
Intro.HackGroundFloorDoor,"Lift Lockdown",20
Intro.ExploreGroundFloor,"Explore Ground Floor",20
Intro.HackAdmin,"Hack Admin Office Door",180
Intro.ForceAdmin,"Force Admin Office Door",45
Intro.UnlockAdmin,"Unlock Office Door",5
Intro.TakeProteinBar,"Take Protein Bar",2
Intro.PlayAdminLog,"Play Admin Log",10
Intro.ExploreWorkshop,"Explore Workshop",10
Intro.TakePDA,"Take Workshop PDA",2
Intro.WorkshopWaterBottle,"Take Water Pouch",2
Intro.ExploreVehicleBay,"Explore Vehicle Bay",20
Intro.InspectRover,"Inspect Rover",20
Intro.TakeEmergencySuit,"Take Emergency Suit",10
Intro.CheckOtherCryopods,"Check Other Cryopods",15
Intro.LifeSupportCoupler,"Take Life Support Coupler",15
Intro.WaterCoupler,"Take Water Recycler Coupler",15
Intro.FoodCoupler,"Take Food Synthesiser Coupler",15
Intro.OfficeCoupler,"Take Office Power Coupler",15
Intro.WorkshopCoupler,"Take Workshop Coupler",2
Intro.WorkshopMetal,"Take Metal Sheet",5
Intro.LeaveInRover,"Leave In Rover",25
Intro.ParkRover,"Park Rover in Talos",10
Intro.LoadGenOntoRover,"Load Generator On Rover",10
Intro.BuildRegulator,"Build Pressure Regulator",30
Intro.InstallRoverGen,"Install Generator In Rover",60
Intro.InstallRoverGenWithTools,"Install Generator In Rover",35
Talos.InspectRoverCharger,"Inspect Rover Charger",15
Intro.RepairRoverPower,"Repair Rover Power System",45
Intro.RepairRoverHull,"Repair Rover Hull",45
Intro.Travelling1,"Follow the Coordinates",45
Intro.Travelling2,"Follow the Coordinates",45
Intro.HeadForReflection,"Head For Reflection",30
Intro.HeadForDerelictRover,"Head For Derelict Rover",20
Intro.InspectDerelictRover,"Inspect Derelict Rover",25
Intro.OpenRoverCrate,"Open Containment Crate",10
Intro.OpenRoverCrateAgain,"Open Containment Crate",10
Intro.TouchRoverArtifact,"Touch the Artifact",5
Intro.BackOnCourse,"Get Back On Course",45
Intro.IgnoreRover,"Bypass the Derelict Rover",20
Intro.Travelling3,"Follow the Coordinates",120
Intro.ApproachFacility,"Approach the Facility",45
Intro.GetUp,"Get Up",88
Intro.NonEssentialCouplers,"Take Non-Essential Couplers",47
Intro.RepairUpperFloor,"Repair Upper Floor",60
Intro.RepairRoverPowerFast,"Repair Rover Power System",92
Intro.RepairRoverHullFast,"Repair Rover Hull",120
Intro.RepairRover,"Fully Repair Rover",242
Talos.BuildSolarMountFull,"Build Solar Panel Mount",70
Intro.TravelTowardsLaurion,"Travel Towards Laurion",90
Intro.TravelToLaurion,"Travel to Laurion",185
Intro.TravelToLaurionDirect,"Travel Directly to Laurion",275
Intro.FindTunnel,"Find Tunnel to Laurion",60
Intro.FollowTunnel,"Take Tunnel to Laurion",120
Intro.FollowTunnelBack,"Take Tunnel to Talos",120
Intro.FindRouteToDam,"Find Route to Dam",240
Intro.FindRouteToTalosFromDam,"Find Route to Talos",240
Intro.DriveToDam,"Drive To Dam",180
Intro.DriveToTalosFromDam,"Drive To Talos",180
Intro.DriveToStrabo,"Drive Towards Strabo",1500
Talos.BuildSolarPanelMount,"Build Solar Panel Mount",45
Talos.InspectSolarPanels,"Inspect Solar Panels",30
Talos.InstallSolarPanels,"Install Solar Panels",45
Talos.ReplaceCarbonFilter,"Replace Carbon Filter",10
Chapter1.OpenVehicleBay,"Open Vehicle Bay",10
Chapter1.OpenPersonnelAirlock,"Open Personnel Airlock",10
Chapter1.EnterVehicleBay,"Enter Vehicle Bay",20
Chapter1.LeaveRover,"Leave Rover",5
Chapter1.GenToLaurion,"Move Generator Into Laurion",60
Chapter1.GenToLaurionPowered,"Move Generator Into Laurion",45
Chapter1.GenToLaurionParked,"Unload Generator",10
Chapter1.InstallGenInLaurion,"Install Generator In Laurion",50
Chapter1.EnterLaurion,"Enter Laurion Facility",25
Chapter1.EnterLaurionQuick,"Enter Laurion Facility",3
Chapter1.ReturnToRover,"Return To Rover",5
Chapter1.ParkRover,"Park Rover in Laurion",10
Laurion.InspectRoverCharger,"Inspect Rover Charger",15
Chapter1.ConnectRover,"Connect Rover Charger",5
Chapter1.DisconnectRover,"Disconnect Rover Charger",5
Chapter1.LeaveInRover,"Leave In Rover",10
Chapter1.ExitLaurion,"Exit Laurion Facility",25
Chapter1.ExitLaurionQuick,"Exit Laurion Facility",3
Chapter1.AddFuelToGen,"Add Fuel To Generator",5
Chapter1.ScavengeForFood,"Scavenge For Food",8
Chapter1.ScavengeForWater,"Scavenge For Water",8
Chapter1.InspectVehicles,"Inspect Vehicles",80
Chapter1.InstallWaterRecycler,"Install Water Recycler In Rover",60
Chapter1.InstallWaterRecyclerParked,"Install Water Recycler In Rover",30
Chapter1.InstallWaterRecyclerLaurion,"Install Water Recycler In Laurion",20
